,C,adv_dist,adv_dist_std,bestC,noise_dist,orig_dist,orig_dist_std,orig_img,orig_reconstruction_dist,orig_target_dist,orig_target_recon_dist,orig_target_recon_dist_std,recon_dist,recon_dist_std,target_img,target_recon_dist,target_recon_dist_std,target_reconstruction_dist
10,0.0680363252759,5.20610523224,0.564651846886,216.032119751,10.7367341138,9.9955368042,0.580266416073,2088,2.78191661835,10.7756528854,10.9511528015,10.9511528015,11.025662838,0.290357243258,3958,4.21397256851,4.21397256851,4.19830274582
11,0.104002773762,5.24295759201,0.537905752659,216.032119751,11.619900569,10.0505189896,0.593455672264,2088,2.78191661835,10.7756528854,10.9363212585,10.9363212585,11.7560293254,0.27909263752,3958,4.19776344299,4.19776344299,4.19830274582
12,0.158982381225,5.24474525452,0.501171290874,216.032119751,10.2998677431,10.0216493607,0.571311950684,2088,2.78191661835,10.7756528854,10.9280138016,10.9280138016,10.8151720035,0.328244265721,3958,4.22502040863,4.22502040863,4.19830274582
13,0.243026182055,5.12421798706,0.515162169933,216.032119751,10.0444160989,9.98337364197,0.524055659771,2088,2.78191661835,10.7756528854,10.9409513474,10.9409513474,10.6544821816,0.24447349381,3958,4.23145341873,4.23145341873,4.19830274582
14,0.371498584747,5.17932415009,0.498133540154,216.032119751,9.52976929997,10.0018405914,0.6245226264,2088,2.78191661835,10.7756528854,10.9357252121,10.9357252121,10.2553971782,0.369091462641,3958,4.23291778564,4.23291778564,4.19830274582
15,0.56788611412,5.18428325653,0.687503933907,216.032119751,10.1027592636,10.0496864319,0.564211905003,2088,2.78191661835,10.7756528854,10.9227304459,10.9227304459,10.7399269873,0.271389322903,3958,4.20772409439,4.20772409439,4.19830274582
16,0.868091106415,5.20708179474,0.52200871706,216.032119751,9.77545611561,9.97586631775,0.51574665308,2088,2.78191661835,10.7756528854,10.9429531097,10.9429531097,10.4539422616,0.255596425683,3958,4.23623228073,4.23623228073,4.19830274582
17,1.32699525356,5.14476394653,0.529889464378,216.032119751,9.36343537784,10.0540466309,0.540657699108,2088,2.78191661835,10.7756528854,10.9461011887,10.9461011887,10.2908251068,0.292397670172,3958,4.18452310562,4.18452310562,4.19830274582
18,2.02849268913,5.0719127655,0.498675167561,216.032119751,9.07059236544,10.0620613098,0.480409562588,2088,2.78191661835,10.7756528854,10.9463853836,10.9463853836,10.1223024753,0.282571530833,3958,4.19481992722,4.19481992722,4.19830274582
19,3.10082697868,5.04616832733,0.512343227863,216.032119751,8.57854937237,9.99817180634,0.531028091908,2088,2.78191661835,10.7756528854,10.9270992279,10.9270992279,9.70760635881,0.284727128854,3958,4.23216819763,4.23216819763,4.19830274582
